Parameters,Data,Current generation,"Best solution
found so far
in island 1","Best solution
found so far
in island 2","Best solution
found so far
in island 3","Best solution
found so far
in island 4","Best solution
in island 1",Results 1,"Best solution
in island 2",Results 2,"Best solution
in island 3",Results 3,"Best solution
in island 4",Results 4
Population size,500,0,19,19,19,19,Weight,11,Weight,11,Weight,11,Weight,11
Number of generations,500,100,19,19,19,19,Value,19,Value,19,Value,19,Value,19
Crossover probability,"[0.3, 0.5, 0.7, 1.0]",200,19,19,19,19,Backpack configuration,[0 0 1 1],Backpack configuration,[0 0 1 1],Backpack configuration,[0 0 1 1],Backpack configuration,[0 0 1 1]
Mutation probability,"[0.05, 0.1, 0.15, 0.2]",300,19,19,19,19,,,,,,,,
Backpack capacity,4,499,19,19,19,19,,,,,,,,
Maximum backpack weight,11,,,,,,,,,,,,,
Instance used,\ks_4_0.txt,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Population size,500,0,12026,11916,12008,12087,Weight,30996,Weight,31122,Weight,31170,Weight,30990
Number of generations,500,100,12248,12061,12185,12145,Value,12248,Value,12061,Value,12185,Value,12145
Crossover probability,"[0.3, 0.5, 0.7, 1.0]",200,12248,12061,12185,12145,Backpack configuration,[0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0],Backpack configuration,[1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0],Backpack configuration,[0 0 1 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 0],Backpack configuration,[1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0]
Mutation probability,"[0.05, 0.1, 0.15, 0.2]",300,12248,12061,12185,12145,,,,,,,,
Backpack capacity,19,499,12248,12061,12185,12145,,,,,,,,
Maximum backpack weight,31181,,,,,,,,,,,,,
Instance used,\ks_19_0.txt,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Population size,500,0,12030,12161,12018,12040,Weight,31074,Weight,31022,Weight,30876,Weight,31074
Number of generations,500,100,12187,12161,12188,12187,Value,12187,Value,12161,Value,12188,Value,12187
Crossover probability,"[0.3, 0.5, 0.7, 1.0]",200,12187,12161,12188,12187,Backpack configuration,[0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0],Backpack configuration,[1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0],Backpack configuration,[0 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0],Backpack configuration,[0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0]
Mutation probability,"[0.05, 0.1, 0.15, 0.2]",300,12187,12161,12188,12187,,,,,,,,
Backpack capacity,19,499,12187,12161,12188,12187,,,,,,,,
Maximum backpack weight,31181,,,,,,,,,,,,,
Instance used,\ks_19_0.txt,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Population size,500,0,12146,11892,11888,11772,Weight,30792,Weight,31154,Weight,31074,Weight,31170
Number of generations,500,100,12146,12077,12187,12235,Value,12146,Value,12077,Value,12187,Value,12235
Crossover probability,"[0.3, 0.5, 0.7, 1.0]",200,12146,12077,12187,12235,Backpack configuration,[1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0],Backpack configuration,[1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0],Backpack configuration,[0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0],Backpack configuration,[0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0]
Mutation probability,"[0.05, 0.1, 0.15, 0.2]",300,12146,12077,12187,12235,,,,,,,,
Backpack capacity,19,499,12146,12077,12187,12235,,,,,,,,
Maximum backpack weight,31181,,,,,,,,,,,,,
Instance used,\ks_19_0.txt,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Population size,500,0,90000,90000,98754,98756,Weight,99777,Weight,99775,Weight,99779,Weight,99777
Number of generations,500,100,99758,99753,99757,99760,Value,99763,Value,99762,Value,99764,Value,99763
